title,manuscript_id,mrc_name,institute_name,other_title,title_other_languages,record_number,author,scribe,language,script,commentary,commentator,commentary_language,script_commentary,sub_commentary,sub_commentator,sub_commentary_language,sub_commentary_script,bundle_number,manuscript_number,digitization,complete_incomplete,folios_number,pages_number,missing_portion_folios,size_length,size_width,size_height,material,condition,subject_1,subject_2,subject_3,data_collection_date,manuscript_date_samvat,manuscript_date_century,illustrations,illustrations_number,illustrations_type,illustrations_quality,manuscript_type,landscape_view,awarded_manuscript,awarded_manuscript_order,lines_number_per_page,beginning_line,ending_line,colophon,description,extra_remarks,christian_era
Kokasāra,NUO02045420,Uttar Pradesh Survey,Dr. B.R. Ambedkar Visvavidhyalaya (MPC),,,420,Kavi Ānandakrita,Saubhāgyasiṁha,Brajabhasha,Devanagari,,,,,,,,,435,1,,Complete,3,3,,25,10,,Plant Products -> Paper / कागज,"Bad, Brittle",Kāvya,,,10/08/2006,,,No,,,,,No,No,,,,,,,manus_dt: 1726,
Kāvyaprakaśa,NUO02063350,Uttar Pradesh Survey,Nagari Pracarini Sabha,,,350,Mammaṭa,,Sanskrit,Devanagari,Pradīpodyotaṭīkā,Nāgeśabhaṭṭakanakalālaṭhākura,,,,,,,,415,,Incomplete,22,,,26.5,11.3,,Plant Products -> Paper / कागज,,Kāvya,,,11/08/2006,,,No,,,,,No,No,,,,,,,manus_dt:,
Bhavānīsahasranāmastotra,NUO02045419,Uttar Pradesh Survey,Dr. B.R. Ambedkar Visvavidhyalaya (MPC),,,419,,,Sanskrit,Devanagari,,,,,,,,,706,,,Incomplete,4,4,,18.5,13,,Plant Products -> Paper / कागज,Bad,Stotra,,,14/08/2006,,,No,,,,,No,No,,,,,,,manus_dt:,
Naṣketakathā,NUO02045412,Uttar Pradesh Survey,Dr. B.R. Ambedkar Visvavidhyalaya (MPC),,,412,,Haranārāyaṇamiśra,Brajabhasha,Devanagari,,,,,,,,,741,,,Complete,42,42,,32.5,18,,Plant Products -> Paper / कागज,"Bad, Brittle",Kathā,,,14/08/2006,,,No,,,,,No,No,,,,,,,manus_dt: 1903,
Laghujātakabhāṣā,NUO02045421,Uttar Pradesh Survey,Dr. B.R. Ambedkar Visvavidhyalaya (MPC),,,421,,,,Devanagari,,,,,,,,,581,,,Complete,30,30,,27,16.5,,Plant Products -> Paper / कागज,Bad,Jyotiṣa,,,10/08/2006,,,No,,,,,No,No,,,,,,,manus_dt: 1818,
Aśaucanirṇaya,NUO02063351,Uttar Pradesh Survey,Nagari Pracarini Sabha,,,351,,,Sanskrit,Devanagari,,,,,,,,,,2966/8,,Incomplete,3,,,15.5,14.5,,Plant Products -> Paper / कागज,,Dharmaśāstra,,,14/08/2006,,,No,,,,,No,No,,,,,,,manus_dt:,
Kāvyaprakaśa,NUO02063352,Uttar Pradesh Survey,Nagari Pracarini Sabha,,,352,Mammaṭa,,Sanskrit,Devanagari,Rājārāma,Saralāṭīkā,,,,,,,,58,,Complete,1-10,,,20.3,6,,Plant Products -> Paper / कागज,,Kāvya,,,11/08/2006,,,No,,,,,No,No,,,,,,,manus_dt: 1936,
दुर्गामहिम्नस्तोत्र,ROI00014157,"Rajasthan Oriental Research Institute, Jodhpur",14 दादू पंथी मठ पाटण पोल,,,157,दुर्वासाऋषि,,Sanskrit,Devanagari,,,,,,,,,,121,,Complete,15,,,,,,Plant Products -> Paper / कागज,,Stotra,,,29/06/2004,,,No,,,,,No,No,,,,,,,manus_dt: 20 वि.स.,
अभैसिग का कवित,ROI000052107,"Rajasthan Oriental Research Institute, Jodhpur",05 राजस्थान प्राच्य विद्या प्रतिष्ठान,,,2107,म. अभयसिंह,,Hindi,Devanagari,,,,,,,,,,40669(2),,Complete,2,,,,,,Plant Products -> Paper / कागज,,Kāvya,,,03/06/2004,,,No,,,,,No,No,,,,,,,manus_dt: 19वि.स.,
Śṛṅgāraśataka Vairāgyaśataka,NUO02045422,Uttar Pradesh Survey,Dr. B.R. Ambedkar Visvavidhyalaya (MPC),,,422,Bharatahari,,Sanskrit,Devanagari,,,,,,,,,552,1,,Incomplete,20,18,1-6,13.5,28,,Plant Products -> Paper / कागज,Bad,Kāvya,,,10/08/2006,,,No,,,,,No,No,,,,,,,manus_dt: 1942,
